epoch,train_loss,val_loss,epoch_time_sec,train_accuracy,train_f1_score,train_precision,train_recall,val_accuracy,val_f1_score,val_precision,val_recall
1,0.4348497121036053,0.2322092468921955,149.63,0.8383136051152801,0.7761915208220679,0.7966744411170665,0.8383136051152801,0.9212301898634866,0.9159669799744011,0.917973604879173,0.9212301898634866
2,0.15096511766314508,0.11296067902675042,148.01,0.9476213358962038,0.9468549949582934,0.9465160394769949,0.9476213358962038,0.9603404989800722,0.9599472660608583,0.9597607619922712,0.9603404989800722
3,0.10432587653398513,0.09762625510875995,148.13,0.9638762761231354,0.9635572086189856,0.963404432411998,0.9638762761231354,0.9651263141377687,0.9650772446370517,0.965032492568242,0.9651263141377687
4,0.08942678950726986,0.0907290457532956,148.39,0.9688140513293256,0.9686008924102929,0.9684893023386855,0.9688140513293256,0.9677545896751922,0.9678318656138357,0.9679218940051597,0.9677545896751922
5,0.07988470431417227,0.08465896718777143,147.92,0.972094460081005,0.9719417276752471,0.9718549767004676,0.972094460081005,0.9701082692609446,0.9699467083706941,0.9698491232598893,0.9701082692609446
6,0.0734324548766017,0.08316730994444627,147.97,0.9744922476438918,0.9743744203721552,0.9743040220282748,0.9744922476438918,0.9707359171504786,0.9707302596171544,0.9707246852013974,0.9707359171504786
7,0.06727818444371224,0.08139744286353771,148.93,0.9766154419480431,0.9765174392630954,0.9764587587414889,0.9766154419480431,0.9712066530676291,0.9711899327697748,0.9711739626318395,0.9712066530676291
8,0.06238215759396553,0.08066616551234172,149.03,0.9783022291088468,0.9782188206160854,0.9781686844867344,0.9783022291088468,0.9725011768397929,0.972440987225012,0.9723914502241445,0.9725011768397929
9,0.05817498184740543,0.08093516299357781,148.92,0.980072374937481,0.9800054951511302,0.9799641357524688,0.980072374937481,0.9713635650400125,0.9713828877915446,0.9714032272680583,0.9713635650400125
10,0.054161307066679,0.0820064447247065,148.16,0.9812639135423511,0.9812145216999396,0.981180957050973,0.9812639135423511,0.9704220932057116,0.9705710755374005,0.9707772468580578,0.9704220932057116
11,0.05086952712386847,0.08062097602165662,149.04,0.9827104316017613,0.982664109914629,0.9826342007037739,0.9827104316017613,0.9715204770123961,0.971580593544339,0.9716507034816693,0.9715204770123961
12,0.04769669029861689,0.08211491199640128,148.71,0.9837401563220194,0.9837077527604876,0.983684471851018,0.9837401563220194,0.9716773889847795,0.9717721213700793,0.9718920416532836,0.9716773889847795
13,0.04458290286362171,0.08406236137335117,148.76,0.985078798458355,0.9850493363111024,0.985028863584602,0.985078798458355,0.97214812490193,0.9722386490259987,0.9723529825376263,0.97214812490193
14,0.04265937242656946,0.08273484242650178,148.43,0.9856574056821191,0.9856371388724066,0.9856214898186056,0.9856574056821191,0.9732857367017104,0.9732585510844564,0.973233680407536,0.9732857367017104
